Program Type,Institution Name,Program Name,Website Address,Description,Location,Cost,Deadline,Application Deadline,Age Eligibility,"Grade, Year in School, Eligibility",Geographic Location,Cost Type,Cost Amount,Special Considerations,STEM,Business/ Economics,Arts/Music,Humanities,World Languages/ Cultures,Leadership,Sports/ Outdoor Adventures,Grade Eligibility,Last Updated Date,Unnamed: 21,AI_Category
Camps & Pre-college Program,Penn Architecture (through Julian Krinsky),Architecture: Summer at Penn,http://www.jkcp.com/architecture,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,"Pennsylvania, University of",Wharton Moneyball Academy,http://jkcp.com/moneyball,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,"Pennsylvania, University of",Engineering Summer Academy,http://esap.seas.upenn.edu,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Pennsylvania, University of",Penn Summer High School Programs,http://www.sas.upenn.edu/summer/programs/highschool,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,"Pennsylvania, University of",Summer Academy in Applied Science & Technology,https://esap.seas.upenn.edu/about/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Pennsylvania, Wharton School, University of",Wharton Sports Business Academy,http://www.whartonsportsbiz.org/businesseducation-wsba.html,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,"Pennsylvania, Wharton School, University of",Leadership in the Business World,http://www.wharton.upenn.edu/academics/lbw.cfm,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,"Pennsylvania, Wharton School, University of","Management & Technology, The Jerome Fisher Program in",http://www.upenn.edu/fisher/summer-mt/mt-summer-overview,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,Phillips Academy - Andover,2015 Phillips Academy Summer Session,http://www.andover.edu/summer,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Phillips Academy ANDOVER,Phillips Academy Summer Sessions,www.andover.edu/summer,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Phillips Exeter Academy,2015 Phillips Exeter Academy Summer School,http://www.exeter.edu/summer,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,"Pittsburgh, University of",The Bridge College Prep and Leadership Academy,http://www.studentaffairs.pitt.edu/BridgeHome,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Pratt Institute,Summer Pre-College Program,http://www.pratt.edu/precollege,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Putney Student Travel,Putney Student Travel,http://www.goputney.com,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Radford University,Summer Bridge Program,http://www.radford.edu/content/csat/home/summer-bridge.html,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Randolph-Macon Academy,Summer Programs,http://www.rma.edu/summer-programs,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Rensselaer Polytechnic Institute,Summer@Rensselaer,http://summer.rpi.edu,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Rider University/Westminster Choir College,Summer at Westminster,http://www.rider.edu/academics/colleges-schools/wca/woce/summer-camps,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Ringling College of Art & Design,Pre-College Perspective,http://www.ringling.edu/PreCollege,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,"Rochester, University of",Pre-College Programs,https://enrollment.rochester.edu/precollege/,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Roger Williams University,RWU Summer Sessions,http://www.rwu.edu/academics/summer-sessions,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,Rose-Hulman Institute of Technology,Operation Catapult,http://www.rose-hulman.edu/admissions-financial-aid/early-planning/operation-catapult/about-operation-catapult/costs-and-dates.aspx,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Roxbury Latin School,Advanced Biotechnology Institute,http://www.biotech-institute.org/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Rutgers State University of New Jersey,Young Scholars Program in Discrete Mathematics,http://dimacs.rutgers.edu/ysp/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Salisbury Summer School,College Prep Program,http://www.salisburysummerschool.org,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Sarah Lawrence College,2015 Summer at Sarah Lawrence,http://www.sarahlawrence.edu/highschool,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Savannah College of Art & Design,Rising Star,http://www.scad.edu/rs,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,Savannah College of Art & Design,SCAD Summer Seminars,http://www.scad.edu/sss,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,School of Visual Arts,Pre-College Program for High School Students,http://www.sva.edu/special-programs/pre-college-program/summer-program,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Sea Education Association - Woods Hole,Sea Semester Environmental Studies in Woods Hole & at Sea,http://www.sea.edu/high_school_programs,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Sewanee Environmental Institute,2015 Pre-College Field Studies Experience,http://www.sewanee.edu/summer/high-school-students/fieldstudy/,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Sidwell Friends School,Sidwell Summer Programs,http://www.sidwell.edu/summer,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,Skidmore College,Pre-College Programs,http://skidmore.edu/precollege,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Skidmore College,Summer Pre-College Program,http://www.skidmore.edu/precollege,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Smith College,Precollege Programs for High School Girls,http://www.smith.edu/summer,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Snow Farm,Summer High School Program,http://www.snowfarm.org/high_school_crafts_program.html,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Sorensen Institute,The High School Leaders Program,http://www.sorenseninstitute.org/programs/hslp,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,South Dakota School of Mine & Technology,Youth Summer Camps,http://www.sdsmt.edu/learn,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Space Camp,Space Camp,http://spacecamp.com/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,SPI Abroad,Transformational Study Abroad Programs For Teens,http://www.spiabroad.com/program-overview/,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,St. Albans,School of Public Service at St. Albans,http://www.schoolofpublicservice.org,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,St. George's University,Med/Vet Summer Leadership Academy,http://www.sgu.edu/school-of-medicine/medical-summer-camp.html,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,St. John's College,The Summer Academy,http://www.sjc.edu/programs-and-events/summer-program-for-high-school-students/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,St. Olaf College,Engineering and Physics Camp for Girls,http://wp.stolaf.edu/conferences/summer-camps/physics-camp/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Stanford University,High School Summer College,http://summercollege.stanford.edu/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Stevens Institute of Technology,Pre-College Programs,http://www.stevens.edu/summer,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Stevens Institute of Technology,The Stevens Summer Precollege Program,http://www.stevens.edu/admissions/pre-college-programs/available-pre-college-programs,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Stony Brook University,Biotechnology Summer Camp,http://istem.stonybrook.edu/content/biotechnology-summer-camp,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Southern California, University of",USC Summer Programs,http://summerprograms.usc.edu/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,,Unknown Program,,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Summer Discovery Program,Summer Discovery,http://summerdiscovery.com,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,Summer Institute for the Gifted,Summer Academic Enrichment Programs,http://www.giftedstudy.com,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Summerfuel,The College Experience/Summerfuel,http://www.summerfuel.com,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Susquehanna University,Summer Advanced Writers Workshops,https://www.susqu.edu/about-su/in-the-community/summer-high-school-programs/writers-workshop,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,Syracuse University,Summer College For High School Students,http://www.summercollege.syr.edu,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,TASIS Schools,TASIS Summer Programs in Europe,http://www.tasis.com,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Temple University - College of Engineering,Women's Engineering Exploration (WE2),http://engineering.temple.edu/summer-programs/we2,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Texas A&M University,Talented & Gifted (TAG) Sea Camps,http://www.tamug.edu/seacamp/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Texas State University,Honors Summer Math Camp,http://www.txstate.edu/mathworks,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Toronto, University of",DEEP Summer Academy,http://outreach.engineering.utoronto.ca/preuniversityprograms/DEEPSummerAcademy.htm,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Traveling Players Ensemble,Traveling Players Ensemble Camp,http://www.travelingplayers.org,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Tufts University,Tufts Summit Program/European Center,http://ase.tufts.edu/europeancenter,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,U.S. Military Academy,Summer Leaders Experience,http://www.westpoint.edu/admissions/SitePages/Summer.aspx,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,U.S. Naval Academy,Naval Academy Summer Seminar (NASS),http://www.usna.edu/Admissions/NASS/index.php,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,U.S. Naval Academy,Summer STEM Program,http://www.usna.edu/Admissions/STEM/index.php,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,U.S. Performing Arts Camps,US Performing Arts Camps,http://www.usperformingarts.com,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,U.S. Space & Rocket Center,Advanced Space Academy,http://www.spacecamp.com,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Union College,EDGE Program,http://engineering.union.edu/edge,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Vanderbilt University,Vanderbilt PAVE,https://pave.vanderbilt.edu/ayindex.php,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Vanderbilt University,Vanderbilt Summer Academy for Talented Youth,http://pty.vanderbilt.edu/students/vsa/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Vermont, University of",2015 UVM/GIV Engineering Summer Inst.,http://www.uvm.edu/~cems/giv/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Virginia Association of Soil and Water Conservation,Youth Conservation Camp,http://www.vaswcd.org/conservation-camp,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Virginia Tech,C-Tech2 (Computers and Technology at Virginia Tech),http://www.eng.vt.edu/ctech2,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Virginia, University of",UVA Advance,http://summer.virginia.edu,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,"Virginia, University of",Introduction to Engineering Program,http://www.seas.virginia.edu/admin/diversity/pre_college/ite.php,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Virginia, University of",Summer Enrichment Program,http://curry.virginia.edu/sep,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,"Virginia, University of",U Va Advance,http://www.virginia.edu/summer,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Virginia, University of",Leadership on the Lawn (L.O.L),http://www.vpsa.virginia.edu/leadershiponthelawn,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Wagner College,Summer Pre-College Program,http://www.wagner.edu/pre-college,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Wake Forest University,Lens@Wake Forest,http://lens.wfu.edu,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Walnut Hill,Summer Programs in the Arts,http://www.walnuthillarts.org/summer,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Washington University in St. Louis,High School Summer Experiences,http://summerexperiences.wustl.edu,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Wellesley College,Pre-College Programs,http://www.wellesley.edu/summer/summerprograms/residentialprogram#zTpYWLUr5R7KtWDL.97,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Wesleyan University,PreCollege Study,http://www.wesleyan.edu/summer/,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Western Kentucky University,The Summer Program for Verbally and Mathematically Precocious Youth (VAMPY),http://www.wku.edu/gifted/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Whale Camp, Inc",Marine Biology Summer Camp,http://www.whalecamp.com,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"William and Mary, College of",Summer PreCollegiate Learner Programs Center for Gifted Ed,http://education.wm.edu/centers/cfge/,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,"William and Mary, College of",Washington D.C. Summer Programs,http://www.wm.edu/dcsummer,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,"William and Mary, College of",Pre-Collegiate Summer Program in Early Amer. History.,http://www.wm.edu/as/niahd/precollegiatesummer/index.php,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,"William and Mary, The College of",Sports Medicine Workshop,http://www.wm.edu/sportsmedicine/sportsmedcamp.htm,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,"Wolfram Research, Inc.",Mathematica Summer Camp,http://mathematica-camp.org,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Woodward Camp,Summer Camps,http://www.campwoodward.com,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Worcester Polytechnic Institute,Pre-College Programs,http://wpi.edu/+launch,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Xavier University,JumpStart,http://www.xavier.edu/summer/high-school-programs/Jump-Start.cfm,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,Yale University,Yale Young Global Scholars Program,http://globalscholars.yale.edu,,,,,,,,,,,,,,,,,,,,,,Civics
Summer Program,,National Crew,https://www.thesca.org/serve/national-crews,Student Conservation Association,Internship,"Work with natural, cultural resource management agencies e.g. National Park Service, US Forest Service for 2 to 5 weeks. Teams of 6 to 8 students work together on conservation assignment.  $25 application fee, $500 program fee.  See website for details.",Posted in December,,15 & 19,Rising 10th & up,Other U.S. States,Program fee,500,,X,,,,,X,X,,,,Civics
Summer Program,,Summer Camp Counselor,https://www.jccnv.org/camps/interested-in-working-with-j-camps/,Jewish Community Center of Northern Virginia (JCCNV),Paid Job,"JCCNV is looking for dynamic, fun, and motivated counselors to join the J Camp team. Ideal applicants will be able to work all summer long. Full attendance at orientation (always the week prior to the start of camp) is a must.  See website for details.",,,16 & up,,VA,Salary,,,,,,,,X,,,,,Civics
Summer Program,,Research & Engineering Apprenticeship Program (REAP) https://www.usaeop.com/apprenticeships,https://www.usaeop.com/program/reap/,Army Educational Outreach Program (AEOP),Internship,The Research and Engineering Apprenticeship Program (REAP) provides opportunities for high school students from historically underrepresented and underserved populations. Students gain hands-on work experience in scientific research and development programs on a university level. REAP students are exposed to real world scientific research and are able to see themselves making a living as scientists and researchers. Selected students are awarded a stipend for their summer research experience in a university lab.,,,,,Other U.S. States,Stipend,,underserved and underrepresented,X,,,,,,,,,,STEM
Summer Program,,Youth Leadership Program,https://www.fbinaa.org/FBINAA/Events/Youth_Leadership_Program/FBINAA/Training/Youth_Leadership_Program.aspx?hkey=ba6a86b9-6ab9-4dc1-9022-40d45b56ea01,FBI National Academy Associates,Camp,One week long training event for high school students at the FBI Academy every summer. Individuals interested in attending the Youth Leadership Program (YLP) are requested to contact their local chapter officers for further information. See website for more details.,June 20 -June 28,,14-16,,VA Out of Metro Area,Free,,GPA 3.0 and up,,,,,,X,,,,,Civics
Summer Program,,Richard Louie Memorial Internship,https://www.freersackler.si.edu/research/fellowships-internships/richardlouie/,Smithsonian Freer and Sackler Galleries,Internship,"Richard Louie Memorial Internship: For students 16+ of Asian descent or who have interest in Asian art/culture. Internship may be paid or unpaid, must work 200 hours to be considered for a $1,500 stipend. Internship is for school year or during summer, applicants must choose one session. Go to website for complete instructions. ",6/20 -6/28,,16 & up,,Greater DC Metro Area,Stipend $1500,,Minority,,,X,,X,X,,,,,Art
Summer Program,,UPMC Hillman Cancer Center Academy (formerly UPCI Academy),http://upci.upmc.edu/training/hs.cfm,"Pittsburgh, University of Cancer Institute Summer Academy",Research,"Eight weeks of didactic and experiential learning at five different locations: The Magee Women's Cancer Research Center;The Tumor Immunology site; The Drug Discovery - Systems and Computational Biology site; and The Computer Sciences, Biological Sciences and Biomedical Informatics site. See website for details. Some exceptional 10th graders accepted. Out of state students have to pay for on-campus housing fee (about $7,000). Stipend is awarded to eligible students.",6/10-8/ 2,,15 & up,Rising 11th & Up,Other U.S. States,Cost,7000,,X,,,,,,,,,,Medicine
Summer Program,,Youth Engagement through Science (YES!),https://qrius.si.edu/teachers/youth-programs/yes-science-internships,Smithsonian Institution - National Museum of Natural History,Internship,"A career immersion and science communication program for youth between the ages of 13-19, who are currently enrolled in high school in the Washington D.C. region. The YES! program, which runs from June-October, gives interns practical experience through a hands-on science internship with Smithsonian science staff",,,,9th and up,Greater DC Metro Area,Stipend,1750,,X,,,,,,,,,,STEM
Summer Program,,Internship program,https://www.smithsonianofi.com/smithsonian-internship-application-deadlines/,Smithsonian Libraries,Internship,"8-week full time internship provides students a once-in-a-lifetime opportunity to work side by side with expert Smithsonian Libraries and Smithsonian staff to acquire the latest skills, knowledge, and hands-on experience needed for today’s information and cultural heritage marketplace. See website for various opportunities and deadlines.



",,,13 - 19,9th - 12th,Greater DC Metro Area,Stipend may be available,,,,,,,,X,,,,,Humanities
Summer Program,,Youth Conservation Corps,https://www.nps.gov/subjects/youthprograms/ycc.htm,Youth Programs at National Park Services,Service Opportunity,"The Youth Conservation Corps is a federally funded work-learn-earn program aimed at developing an appreciation and understanding of the Nation’s environmental and natural heritage.  Students will spend the majority of the summer outside assisting us with visitor services, maintenance, and biological duties. Environmental awareness is an integral aspect of the YCC program, with projects embracing both work and environmental learning goals.  Check the website for locations of opportunities and application windows.",,,15-18,,Other U.S. States,Stipend,min wage,US residents,,,,,,,X,,,,Civics
Summer Program,,Jump Start ,https://www.life.umd.edu/hhmi/jumpstart,"Maryland, University of",Camp,A week-long summer science immersion program at the University of Maryland. The theme for the 2019 program is biomedical science. Students will learn how cellular and molecular techniques are changing the way we diagnose and treat disease. Participants are responsible for transportation to and from campus each day; no on-site housing is available.,7/15-7/19 (S1) or 7/22-7/26 (S2),,,Rising 11th & Up,Greater DC Metro Area,Program fee,100,,X,,,,,,,,,,STEM
Summer Program,,Beaver Works Summer Institute,https://beaverworks.ll.mit.edu/CMS/bw/bwsi,MIT School of Engineering,Academic Program,"BWSI is a rigorous STEM program for rising seniors. It features hands-on, project-based, workshop-style courses beginning with online courses from January to March (online registration begins December 1st).  The 4-week Summer Institute applications are due in Mid-March.  See website for details.",7/8 - 8/ 4,,,Rising 12th,"Cambridge, MA",Students will pay transportation costs. Program is free.,,US Resident,X,,,,,,,,,,STEM
Summer Program,,National Youth Science Camp,http://www.nysf.com/w/programs/nysc/,National Youth Science Foundation,Camp,"The NYSC is a month-long camp for young scientists conducted during the summer after they graduate from high school.  In a rustic setting in West Virginia, students from around the country are challenged academically in exciting lectures and hands-on studies on current science topics.  The program also offers participants the opportunity to experience a wide variety of outdoor activities that have a minimal impact on the environment and are challenging for the experienced but accessible to those who have never participated in outdoor excursions.  The NYSC is an all-expenses-paid program.  The National Youth Science Foundation will arrange round trip transportation from an airport near the delegate’s home to Charleston, West Virginia.",6/27 - 7/20,,16 & up,Current Senior,Other U.S. States,Free,,,X,,,,,X,X,,,,STEM
Summer Program,,SUMMER INTERNSHIP PROGRAM IN BIOMEDICAL RESEARCH FOR HIGH SCHOOL STUDENTS (HS-SIP),https://www.training.nih.gov/programs/hs-sip,NIH (National Institute of Health) - Biomedical,Internship,"High School SIP provides an opportunity to spend a summer working at the NIH side-by-side with some of the leading scientists in the world, in an environment 
devoted exclusively to biomedical research. For citizens and permanent residents of the U.S. See Website for details.",6/13 or 6/24 start date (8 week program),,17 & up,11th & 12th,Greater DC Metro Area,Stipend,,US citizen or permanent resident,X,,,,,,,,,,Medicine
Summer Program,,Lott Leadership Institute for High School Students  ,https://lottinst.olemiss.edu/outreach/summer_institute.html,"Mississippi, University of",Academic Program,"Month long program that brings together student leaders from across the Southeast to earn college credit on the UM campus and to begin the study of leadership. The goals of the program are to develop leadership skills in young citizens and prepare them for college.  Focus on politics and public service. Includes trip to Washington DC. Nominations from schools MUST be received by December 15, 2018. See website for details.",5/24 - 6/28 (S1) or  6/24 - 7/26 (S2),,,Rising 12th,Other U.S. States,Cost,600,,,,,,,X,,,,,Civics
Summer Program,,Business is Global  ,https://kelley.iu.edu/IIB/ProgramsandIntitiatives/BIG/page38734.cfm,Indiana University Kelley School of Business,Academic Program,"Two weeks program to immerse yourself in the cultures and languages of East Asia, the Middle East and North Africa, Russia and Eastern Europe, the Netherlands, Belgium, Suriname, and the Dutch-speaking islands of the Caribbean while exploring career options.",7/7-7/20,,,10th and up,Outside of country,Cost Full Scholarship available,1800,,,X,,,,,,,,,Business
Summer Program,,Joint Science Education Project (JSEP) &  The Joint Antarctic School Expedition (JASE)  ,https://dickey.dartmouth.edu/joint-science-education-project,"Dartmouth University, Dickey Center",Research,A project funded by the National Science Foundation that provides opportunities for U.S. high school students and Dartmouth graduate students to travel to the polar regions and participate in hands-on and inquiry-based science activities. The Joint Science Education Project (JSEP) takes students to Greenland and the Joint Antarctic School Expedition (JASE) takes students to Antarctica.  ,JSEP 3 weeks summer 2019               JASE 1-2 weeks winter 2019-20,,,10th & 11th,Outside U.S.,Free,,,X,,,,,,,,,,STEM
Summer Program,,Camp Rising Sun,http://www.lajf.org,The Louis August Jonas Foundation,Camp,"International group promoting commitment to service and leadership. Camp offers service projects, outdoor experience, artistic activities.  4 week sessions.  See website for details.",Girls session 6/22-7/19                       Boys session 7/27-8/23,,15 & 16,,Other U.S. States,Free,,,,,,,,X,,,,,Civics
Summer Program,,BLAST (Building Leaders for Advancing Science & Tech) ,https://blast.spacegrant.org/,Virginia Space Grant Consortium/UVA & Virginia Tech,Camp,"BLAST will offer dynamic three-day residential summer experiences on the campuses of Old Dominion University, Virginia Tech and University of Virginia. Through innovative hands-on sessions taught by faculty members and staff, students will explore the fun and excitement of STEM while residing in a college dorm. Current 8th & 9th Virginia Residents only.",S1 @VT  6/16-19      S2 @ODU 6/23-26  S3 @VT 7/7-10        S4 @UVA 7/28-31,,,9th grade,VA Out of Metro Area,Free,,,X,,,,,,,,,,STEM
Summer Program,,Tisch School of the Arts - Summer High School Programs,https://tisch.nyu.edu/special-programs/high-school-programs,New York University,Academic Program,"Four week intensive training in the arts.  Structured class schedule which includes projects, professional training, and collaboration. Tuition-based and culminates in six college college credits . Nonrefundable online application fee of $75 and activity fees additional. Need-based scholarships available.",7/7-8/3,,,Rising 11th and 12th,Other U.S. States,Cost,,,,,X,,,,,,,,Art
Summer Program,,High School Diplomats ,http://www.highschooldiplomats.com/,High School Diplomats,Camp,HSD is a ten-day program at Princeton University for American students to interact and forge friendships with Japanese students. Accepts 40 American participants. Ability to speak Japanese not required. Full scholarships are awarded to student participants. Online application,7/24-8/4,,,10th & 11th,Other U.S. States,Free,,,X,,X,,X,X,,,,,Civics
Summer Program,,SHIP (Summer High School Intern Program),https://www.nist.gov/ohrm/staffing/ship.cfm,NIST (National Institute of Standards & Technology),Research,8 week unpaid volunteer program for students interested in scientific research. Student will work directly with a scientist on cutting edge research.,(MD)  6/19-8/7     (CO) 6/10-82,,,11th & up,Gaithersburg MD,Free,,,X,,,,,,,,,,STEM
Summer Program,,USU Comprehensive Student Research Training Program (USU-CSRTP),https://www.usuhs.edu/research/education-training,Uniformed Services University of the Health and Science,Internship,"The USU-CSRTP is a 9-week training program that provides unique exposure to basic (USRTP) and clinical research, social/behavioral research, health policy, and research administration to high school and college students",6/17-8/16,,16 & Up,,Greater DC Metro Area,,,US Citizen,,,,,,,,,,,Medicine
Summer Program,,Clark Scholars Program,http://www.clarkscholars.ttu.edu,Texas Tech University,Research,This seven week summer research program is open to gifted students in almost any area of academy from natural sciences and mathematics to humanities and fine arts as well. Free room and board. Application includes letter of recommendation and PSAT or SAT scores. Application is very specific for deadlines.,6/17-8/1,,17 & up,11th and 12th ,Other U.S. States,Stipend,750,,X,,,,,,,,,,STEM
Summer Program,,Q?risus Youth Volunteers,https://qrius.si.edu/teachers/youth-programs/qcrew-volunteers,Smithsonian National Museum of Natural History,Service Opportunity,"Q?rius interns encourage visitor exploration in fun, experimental, and creative activities in the Q?rius exhibit. They serve as ambassadors to engage fellow teens in interactive, science-based activities. Requires a 100-hour commitment in total.",Start end of June,,13 to 19 and enrolled in high school,,Greater DC Metro Area,,,,X,,,,,,,,,,Humanities
Summer Program,,High School Introduction to Engineering Systems (HITES),https://tickle.utk.edu/diversity/pre-college/hites12/hites12-faq/,"Tennessee, University of",Academic Program,"One Week long program that provides a hands-on opportunity to explore engineering studies and prepare for scientific study and research at the University of Tennessee, Knoxville. Must have a minimum ACT math score of 25 or  SAT math score of 590. Program is free, there is $75 processing fee if selected to attend, but students must provide their own transportation cost.",7/7-7/12,,,Rising 12th,Other U.S. States,Free,,,X,,,,,,,,,,STEM
Summer Program,,Volunteer opportunities,https://www.inova.org/get-involved/volunteer/index.jsp,Inova Healthcare,Volunteer,Check website for more info,,,14 & up,,DC metro area,,,,,,,,,,,,,,Medicine
Summer Program,,High School Volunteer Opportunities,http://www.inova.org/get-involved/volunteer/inova-fairfax-hospital/teen-volunteer-opportunities/index.jsp,INOVA Fairfax Medical Campus,Volunteer,Check website for more info,,,,,,,,,,,,,,,,,,,Medicine
Summer Program,,Internship opportunities with various government agencies,https://www.usajobs.gov/StudentsAndGrads,USAJobs Pathways Internship Program,Internship,Many vacancies at various locations for paid positions and internships. Different eligibility requirements and application deadlines for different positions.,,,,,Greater DC Metro Area,Salary,,,X,,,,,,,,,,Civics
